product name,product category,product price,product link,product image
"Value-Top S22VFR100 21.5"" 100Hz FHD Monitor",Monitors,8000,https://www.startech.com.bd/value-top-s22vfr100-21-5-inch-100hz-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/value-top/s22vfr100/s22vfr100-01-228x228.webp
Dahua DHI-LM22-L200V 21.45 inch 100Hz FHD ELED Monitor,Monitors,8300,https://www.startech.com.bd/dahua-dhi-lm22-l200v-21-45-inch-fhd-eled-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/dhi-lm22-l200v/dhi-lm22-l200v-01-228x228.webp
"Hikvision DS-D5022F2-2P2/CBD 21.5"" 100Hz Full HD IPS Monitor",Monitors,8200,https://www.startech.com.bd/hikvision-ds-d5022f2-2p2-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/hikvision/ds-d5022f2-2p2/ds-d5022f2-2p2-01-228x228.webp
"Xiaomi Redmi V22FAB-RA 21.45"" FHD Monitor",Monitors,8300,https://www.startech.com.bd/xiaomi-redmi-v22fab-ra-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/xiaomi/v22fab-ra/v22fab-ra-001-228x228.webp
"MSI PRO MP223 E2 21.45"" 100Hz Full HD Business Monitor",Monitors,8800,https://www.startech.com.bd/msi-pro-mp223-e2-business-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/msi/pro-mp223-e2/pro-mp223-e2-01-228x228.webp
"Walton WD215I10 21.45"" 100Hz FHD IPS Monitor",Monitors,8350,https://www.startech.com.bd/walton-wd215i10-100hz-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/walton/wd215i10/wd215i10-01-228x228.webp
"Xiaomi A22i 21.45"" 75Hz FHD Monitor",Monitors,8199,https://www.startech.com.bd/xiaomi-a22i-21-45-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/xiaomi/a22i/a22i-01-228x228.webp
"NPC MF2208-IPS 22"" FHD 100Hz IPS Monitor",Monitors,8700,https://www.startech.com.bd/npc-mf2208-ips-22-inch-ips-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/npc/mf2208-ips/mf2208-ips-001-228x228.webp
TrendSonic 22VFHD100Hz 21.5 inch 100Hz FHD Monitor,Monitors,8500,https://www.startech.com.bd/trendsonic-22vfhd100hz-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/trendsonic/ts5322/ts5322-001-228x228.webp
"PC Power PCM22F 21.45"" IPS FHD 75Hz Borderless Monitor",Monitors,9200,https://www.startech.com.bd/pc-power-pcm22f-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/pc-power/pcm22f/pcm22f-01-228x228.webp
"Walton WD215I09 21.45"" FHD IPS Monitor",Monitors,9150,https://www.startech.com.bd/walton-wd215i09-21-45-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/walton/wd215i09/wd215i09-001-228x228.webp
TrendSonic 22VFHD100Hz 21.5 inch 100Hz FHD Monitor,Monitors,8500,https://www.startech.com.bd/trendsonic-22vfhd100hz-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/trendsonic/ts5322/ts5322-001-228x228.webp
"Hikvision DS-D5022F2-2P2/CBD 21.5"" 100Hz Full HD IPS Monitor",Monitors,8200,https://www.startech.com.bd/hikvision-ds-d5022f2-2p2-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/hikvision/ds-d5022f2-2p2/ds-d5022f2-2p2-01-228x228.webp
"Walton WD215I09 21.45"" FHD IPS Monitor",Monitors,9300,https://www.startech.com.bd/walton-wd215i09-21-45-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/walton/wd215i09/wd215i09-001-228x228.webp
